,Etot,Tamb,TambForecast,EtotPeakHour
2016-12-26,1.849,6.424,5.181,23
2016-12-27,3.188,8.57,6.424,4
2016-12-28,1.933,10.46,8.57,7
2016-12-29,3.415,6.623,10.46,11
2016-12-30,1.868,18.02,6.623,7
2016-12-31,1.807,4.955,18.02,3
2017-01-01,3.907,7.77,4.955,19
2017-01-02,1.826,9.74,7.77,22
2017-01-03,2.038,0.231,9.74,7
2017-01-04,1.843,-9.27,0.231,18
2017-01-05,3.179,-11.93,-9.27,6
2017-01-06,2.002,-0.286,-11.93,19
2017-01-07,3.2670000000000003,-0.1,-0.286,6
2017-01-08,3.53,11.78,-0.1,12
2017-01-09,1.941,17.56,11.78,17
2017-01-10,1.918,11.02,17.56,10
2017-01-11,2.003,13.47,11.02,18
2017-01-12,1.7809999999999997,5.899,13.47,21
2017-01-13,3.2310000000000003,5.605,5.899,23
2017-01-14,3.225,4.944,5.605,0
2017-01-15,3.314,2.818,4.944,20
2017-01-16,3.1169999999999995,3.822,2.818,3
2017-01-17,1.834,9.29,3.822,7
2017-01-18,3.337,13.47,9.29,9
2017-01-19,2.014,12.77,13.47,21
2017-01-20,2.7379999999999995,9.04,12.77,13
2017-01-21,1.888,5.225,9.04,14
2017-01-22,1.738,8.78,5.225,21
2017-01-23,3.139,11.94,8.78,10
2017-01-24,2.508,0.642,11.94,20
2017-01-25,1.845,-0.691,0.642,12
2017-01-26,2.253,-0.677,-0.691,20
2017-01-27,3.168,5.872,-0.677,18
2017-01-28,1.943,9.31,5.872,7
2017-01-29,1.82,16.1,9.31,9
2017-01-30,1.8049999999999995,15.8,16.1,21
2017-01-31,1.7599999999999996,17.81,15.8,1
2017-02-01,3.5660000000000003,2.542,17.81,14
2017-02-02,3.623,-3.364,2.542,10
2017-02-03,3.19,-0.164,-3.364,10
2017-02-04,1.721,15.91,-0.164,1
2017-02-05,1.769,15.26,15.91,20
2017-02-06,2.87,16.83,15.26,12
2017-02-07,1.453,17.85,16.83,23
2017-02-08,1.719,15.39,17.85,0
2017-02-09,0.914,21.17,15.39,13
2017-02-10,0.534,26.08,21.17,23
2017-02-11,1.998,11.94,26.08,8
2017-02-12,4.448,9.72,11.94,14
2017-02-13,3.2420000000000004,8.98,9.72,17
2017-02-14,1.895,9.56,8.98,21
2017-02-15,1.805,20.06,9.56,21
2017-02-16,1.767,23.31,20.06,12
2017-02-17,2.5660000000000003,20.12,23.31,23
2017-02-18,2.322,18.99,20.12,0
2017-02-19,2.139,16.36,18.99,11
2017-02-20,0.54,18.93,16.36,9
2017-02-21,1.132,22.46,18.93,10
2017-02-22,1.6489999999999998,15.64,22.46,23
2017-02-23,1.956,1.616,15.64,14
2017-02-24,1.978,-3.207,1.616,9
2017-02-25,1.84,4.727,-3.207,7
2017-02-26,3.174,7.35,4.727,20
2017-02-27,2.725,12.69,7.35,12
2017-02-28,1.944,3.753,12.69,16
2017-03-01,1.705,9.7,3.753,6
2017-03-02,3.224,12.03,9.7,11
2017-03-03,3.13,22.21,12.03,13
2017-03-04,1.6419999999999997,24.0,22.21,2
2017-03-05,1.0859999999999996,20.39,24.0,19
2017-03-06,1.775,9.76,20.39,19
2017-03-07,1.6809999999999998,15.01,9.76,20
2017-03-08,3.0609999999999995,20.71,15.01,4
2017-03-09,1.691,21.2,20.71,20
2017-03-10,1.745,20.46,21.2,23
2017-03-11,1.853,10.63,20.46,13
2017-03-12,1.783,15.22,10.63,6
2017-03-13,1.3689999999999998,15.64,15.22,19
2017-03-14,0.363,21.69,15.64,5
