,units,n_back,dropout,vloss,sec_elaps
182,336,576,0.2,0.00033198497840203345,347
325,576,72,0.0,0.00033111521042883396,69
188,480,432,0.0,0.000330252485582605,351
159,96,720,0.2,0.00033018269459716976,351
205,192,192,0.2,0.00033016319503076375,128
168,624,672,0.1,0.0003300489916000515,610
299,384,384,0.0,0.00032993985223583877,256
334,120,624,0.0,0.0003297626390121877,232
255,576,144,0.1,0.00032968661980703473,155
134,480,240,0.2,0.0003293850168120116,206
90,768,336,0.1,0.00032922206446528435,388
360,480,384,0.1,0.0003291492466814816,237
337,192,120,0.2,0.00032913111499510705,125
345,288,528,0.1,0.0003291182511020452,300
34,672,72,0.1,0.0003289885935373,86
309,624,720,0.0,0.00032895238837227225,479
141,96,192,0.0,0.00032872642623260617,137
285,120,120,0.2,0.0003282927500549704,74
1,768,336,0.2,0.0003278902149759,409
357,120,24,0.1,0.00032777676824480295,55
320,144,768,0.2,0.0003276059287600219,366
35,96,576,0.2,0.00032757368171587586,246
273,12,384,0.0,0.00032712274696677923,219
80,120,48,0.2,0.0003269169246777892,69
161,480,528,0.0,0.000326808774843812,664
197,120,12,0.0,0.00032653717789798975,68
377,120,576,0.0,0.00032645880128256977,306
192,864,72,0.1,0.00032635932439006865,144
181,96,336,0.2,0.000326035195030272,165
328,576,12,0.0,0.0003250987210776657,53
363,480,624,0.1,0.0003249731962569058,702
97,720,12,0.0,0.00032381858909502625,77
295,336,24,0.0,0.000323817424941808,66
180,120,672,0.0,0.0003232143062632531,317
100,528,192,0.0,0.00032317350269295275,184
120,672,192,0.2,0.0003231495211366564,218
332,144,192,0.0,0.0003229820868000388,172
381,240,192,0.0,0.0003229654103051871,143
288,432,480,0.1,0.0003228373534511775,451
154,528,672,0.2,0.00032269401708617806,546
128,384,48,0.2,0.00032254066900350153,64
67,24,864,0.2,0.00032232547528110445,514
322,24,24,0.1,0.00032166566234081984,75
43,288,864,0.1,0.0003212796582374722,434
200,624,240,0.2,0.00032121065305545926,406
306,72,672,0.0,0.0003209123096894473,268
336,240,336,0.2,0.0003205375396646559,202
338,144,240,0.2,0.0003204082604497671,236
224,720,12,0.1,0.00032014684984460473,61
260,96,24,0.2,0.0003195144818164408,65
352,48,432,0.2,0.00031905627110973,244
248,576,144,0.2,0.00031895461142994463,155
166,336,576,0.1,0.0003188734408468008,347
89,48,288,0.1,0.0003188266127835959,130
26,48,24,0.2,0.0003188130212947,84
48,480,144,0.1,0.0003186580433975905,138
366,192,24,0.2,0.0003183088556397706,57
289,12,144,0.2,0.00031810541986487806,168
36,768,144,0.1,0.00031778248376213014,260
54,720,336,0.2,0.000317703525070101,367
56,24,576,0.2,0.00031748510082252324,289
275,120,864,0.2,0.0003174575977027416,393
333,240,864,0.2,0.0003173452278133482,587
177,240,144,0.0,0.00031729083275422454,211
