,units,n_back,dropout,vloss,sec_elaps
617,672,192,0.2,0.00035520177334547043,375
41,576,144,0.2,0.0003551565168891102,156
618,288,144,0.1,0.00035503433900885284,80
803,432,336,0.0,0.0003549973771441728,181
641,240,96,0.1,0.0003548758977558464,83
638,480,336,0.0,0.0003548081440385431,373
76,12,864,0.0,0.00035464201937429607,393
271,24,288,0.2,0.00035445194225758314,189
581,240,672,0.1,0.0003540298203006387,357
750,864,384,0.0,0.0003538636374287307,365
964,768,96,0.0,0.00035382085479795933,137
781,24,432,0.2,0.0003536700096447021,197
158,192,192,0.0,0.00035365705844014883,126
1043,12,48,0.1,0.0003536245203576982,118
332,864,12,0.2,0.00035356657463125885,49
620,192,480,0.0,0.000353501207428053,189
526,144,192,0.0,0.00035347911762073636,125
740,336,432,0.0,0.0003534526040311903,276
357,576,672,0.1,0.00035332507104612887,741
1081,768,72,0.2,0.0003531634574756026,97
921,12,720,0.2,0.00035310539533384144,361
126,528,12,0.2,0.00035310006933286786,35
552,624,384,0.1,0.00035295405541546643,259
198,768,288,0.0,0.0003529322857502848,234
549,336,480,0.2,0.00035284904879517853,209
1121,288,720,0.2,0.0003527382214087993,301
755,72,24,0.0,0.00035251371446065605,75
396,576,24,0.2,0.0003518441808409989,43
147,528,576,0.1,0.0003518026787787676,330
240,720,480,0.2,0.0003515933349262923,353
272,768,480,0.0,0.000351517868693918,374
490,192,72,0.0,0.0003514030249789357,54
1105,480,528,0.2,0.00035130034666508436,438
39,624,768,0.2,0.00035118791856803,463
582,12,96,0.1,0.0003511760151013732,107
748,288,144,0.2,0.0003511022077873349,81
311,672,672,0.0,0.0003505596541799605,449
942,672,528,0.0,0.0003502808976918459,378
1038,240,240,0.1,0.0003501726605463773,123
144,384,864,0.1,0.00035015406319871545,350
777,624,432,0.0,0.0003500690800137818,290
823,120,144,0.2,0.0003500670427456498,99
1024,24,672,0.1,0.00034996637259609997,265
684,672,120,0.0,0.0003498955338727683,166
1139,720,192,0.0,0.0003498667501844466,255
129,144,672,0.1,0.00034963045618496835,315
1157,672,288,0.0,0.0003495956480037421,231
31,768,864,0.1,0.0003495013224892318,1248
739,72,624,0.0,0.00034929608227685094,216
869,720,672,0.0,0.00034868347574956715,509
94,864,624,0.0,0.00034841077285818756,546
584,96,720,0.1,0.0003482933097984642,240
632,72,120,0.2,0.0003482341126073152,72
211,864,576,0.0,0.0003479855658952147,736
379,288,72,0.0,0.00034788064658641815,52
108,240,384,0.2,0.0003478727303445339,151
42,120,720,0.1,0.00034781312569975853,330
118,624,24,0.0,0.00034766283351927996,45
880,432,864,0.0,0.0003474865516182035,418
481,192,864,0.1,0.00034740008413791656,441
103,672,576,0.0,0.0003471912641543895,387
683,864,432,0.1,0.00034690601751208305,404
873,288,624,0.0,0.000346785323927179,359
355,192,864,0.0,0.00034668753505684435,430
753,432,720,0.2,0.00034653552575036883,358
269,72,672,0.2,0.00034639867953956127,270
187,672,768,0.2,0.00034630761365406215,503
727,768,624,0.0,0.0003462864551693201,942
566,48,528,0.2,0.0003462427412159741,214
286,576,384,0.0,0.0003461433225311339,235
937,528,672,0.0,0.0003461098240222782,583
1085,48,336,0.1,0.00034582678927108645,228
313,96,72,0.0,0.00034582673106342554,53
1149,576,864,0.1,0.00034582134685479105,536
360,576,576,0.1,0.0003456369158811867,338
959,240,528,0.1,0.00034536037128418684,317
80,192,768,0.0,0.0003451656084507704,379
594,720,240,0.1,0.0003451249503996223,294
18,192,336,0.1,0.0003451243683230132,192
597,576,240,0.2,0.00034512224374338984,238
456,864,48,0.1,0.0003451133379712701,80
1037,624,624,0.2,0.00034510844852775335,421
73,528,96,0.0,0.00034504407085478306,150
1095,96,768,0.0,0.0003450326912570745,287
665,96,576,0.2,0.0003450237272772938,211
961,768,528,0.0,0.0003446885966695845,484
78,24,480,0.1,0.00034458228037692606,218
1004,576,72,0.0,0.0003444421454332769,79
314,672,432,0.1,0.00034411842352710664,301
1077,480,120,0.0,0.00034408969804644585,98
516,12,528,0.2,0.0003440853033680469,288
793,144,96,0.2,0.00034404121106490493,88
1126,576,480,0.1,0.0003439681604504585,444
294,12,768,0.0,0.00034390747896395624,358
644,480,672,0.2,0.00034380913712084293,524
705,432,624,0.0,0.00034375133691355586,305
948,336,120,0.0,0.0003437345731072128,115
805,288,768,0.0,0.00034368186607025564,427
124,384,384,0.2,0.0003436170518398285,252
320,624,576,0.2,0.0003435814578551799,363
548,120,120,0.0,0.0003435681283008307,77
369,48,192,0.2,0.0003435118414927274,109
201,528,384,0.0,0.0003435070684645325,441
757,864,336,0.1,0.00034343681181780994,326
293,768,336,0.0,0.00034318966208957136,403
517,144,528,0.0,0.0003431634104344994,266
114,864,528,0.0,0.0003431338700465858,694
853,96,384,0.2,0.00034311716444790363,165
315,24,336,0.2,0.00034291413612663746,145
829,576,528,0.1,0.00034278538078069687,469
216,288,48,0.2,0.0003426810435485095,47
509,768,768,0.2,0.0003426778712309897,583
861,48,624,0.2,0.00034262464032508433,260
388,48,96,0.0,0.0003426194016356021,68
982,48,384,0.1,0.00034260540269315243,232
374,528,12,0.1,0.00034254087950102985,36
621,432,432,0.1,0.00034249440068379045,315
178,528,432,0.2,0.0003423580783419311,377
1023,336,384,0.0,0.00034221462556160986,260
307,720,768,0.0,0.0003422086301725358,798
973,192,24,0.0,0.0003421904693823308,73
364,864,48,0.2,0.00034209032310172915,80
475,768,432,0.1,0.000342008686857298,507
995,480,528,0.0,0.0003418846463318914,309
63,768,720,0.0,0.0003417368861846626,886
89,120,480,0.1,0.00034169049467891455,240
945,72,48,0.2,0.0003415877581574023,60
1026,528,24,0.0,0.00034147544647566974,66
354,384,576,0.0,0.0003413426748011261,361
438,336,336,0.2,0.00034128534025512636,221
1008,72,72,0.2,0.00034127564867958426,64
334,336,240,0.1,0.00034093382419086993,168
860,12,24,0.2,0.00034091650741174817,122
904,720,12,0.1,0.0003406747418921441,46
3,528,144,0.2,0.0003405889146961272,104
693,24,72,0.2,0.00034040233003906906,95
16,528,24,0.2,0.0003403471491765231,60
609,864,528,0.1,0.00034020814928226173,1155
975,864,12,0.0,0.0003398956614546478,52
423,432,48,0.2,0.0003398082626517862,92
846,720,480,0.0,0.00033969912328757346,540
852,864,864,0.1,0.00033966382034122944,1125
210,672,864,0.1,0.00033958675339818,817
139,240,576,0.1,0.0003394915256649256,301
171,432,480,0.1,0.0003394911182112992,229
33,120,768,0.2,0.0003393571241758764,270
1147,672,624,0.2,0.00033933771192096174,647
946,576,336,0.0,0.00033916818210855126,321
602,864,672,0.0,0.0003390350902918726,883
