,units,n_back,dropout,vloss,sec_elaps
422,480,240,0.0,0.014728182926774025,134
39,384,120,0.0,0.0147269340232014,46
503,192,576,0.2,0.014725809916853905,71
420,24,576,0.1,0.014724396169185638,90
536,576,768,0.0,0.014721722342073917,367
78,720,240,0.1,0.0147206597030162,152
52,72,480,0.0,0.0147181982174515,42
222,144,576,0.2,0.0147135891020298,96
130,144,480,0.0,0.014712736941874027,63
401,192,672,0.2,0.014709721319377422,115
374,336,528,0.0,0.014708831906318665,114
339,24,768,0.1,0.014708295464515686,113
169,480,384,0.0,0.014706957153975964,111
558,624,144,0.2,0.01470075361430645,91
90,864,720,0.0,0.0146993957459926,431
490,576,336,0.0,0.014697904698550701,151
8,240,432,0.1,0.0146957384422421,148
194,192,864,0.1,0.014695058576762676,270
13,120,864,0.0,0.0146928550675511,107
569,120,768,0.0,0.014692218974232674,96
573,624,288,0.1,0.01469021663069725,144
538,192,432,0.0,0.014688817784190178,106
606,72,48,0.0,0.014686484821140766,32
341,624,432,0.1,0.01468581985682249,197
358,864,384,0.0,0.01468578726053238,257
215,24,432,0.1,0.014685304835438728,47
77,576,192,0.2,0.0146848643198609,79
444,72,480,0.2,0.014682602137327194,59
166,72,144,0.0,0.014681714586913586,38
168,48,768,0.0,0.014681335538625717,96
154,432,576,0.1,0.014679196290671825,182
419,768,288,0.1,0.014675515703856945,173
252,144,624,0.2,0.014675303362309933,164
189,96,96,0.2,0.014674808830022812,33
312,144,480,0.1,0.014674147590994835,134
545,864,528,0.2,0.01467410009354353,415
404,480,864,0.1,0.014673508703708649,362
321,624,336,0.1,0.0146735068410635,83
303,96,336,0.0,0.014666968956589699,49
96,480,240,0.1,0.0146625572815537,108
468,336,864,0.2,0.014660426415503025,220
83,48,624,0.0,0.0146572701632976,66
170,12,144,0.0,0.014655531384050846,69
235,192,336,0.0,0.014648711308836937,88
175,192,384,0.2,0.014646856114268303,52
42,528,288,0.2,0.0146460570394992,163
4,120,96,0.0,0.0146454246714711,29
516,528,528,0.2,0.01464505959302187,158
40,72,672,0.2,0.0146445371210575,76
447,480,528,0.0,0.014644259586930275,194
300,528,432,0.1,0.014643141999840736,177
258,528,288,0.0,0.014641981571912766,159
232,288,720,0.0,0.014641975052654743,175
295,96,480,0.0,0.014641840942203999,61
400,48,192,0.1,0.014640207402408123,31
229,72,48,0.2,0.014639370143413544,23
566,96,576,0.2,0.014639169909060001,70
473,72,624,0.1,0.01463902834802866,93
313,48,288,0.2,0.014638804830610752,51
233,192,384,0.1,0.014634942635893822,51
195,384,120,0.1,0.014631268568336964,72
255,72,120,0.0,0.01463109441101551,28
329,864,288,0.1,0.014629682525992393,157
310,96,384,0.1,0.014629028737545013,69
198,96,336,0.2,0.014628950506448746,63
12,768,120,0.1,0.0146284783259034,77
408,120,576,0.1,0.014627288095653057,76
323,288,432,0.1,0.014623499475419521,90
579,120,528,0.2,0.014621677808463573,73
146,144,240,0.2,0.014619985595345497,49
276,288,72,0.1,0.01461673341691494,40
73,192,528,0.1,0.0146157750859856,69
271,576,480,0.0,0.014613748528063297,199
238,96,120,0.0,0.014612672850489616,27
213,24,120,0.1,0.014612304046750069,51
68,480,288,0.2,0.0146122490987181,150
128,72,192,0.0,0.014612115919589996,55
457,864,480,0.2,0.014607103541493416,384
452,240,528,0.1,0.01460241712629795,97
561,72,768,0.0,0.014600975438952446,82
268,144,528,0.0,0.014599218964576721,117
410,432,240,0.0,0.014598293229937553,94
53,240,288,0.0,0.0145961940288543,128
231,144,864,0.2,0.01459524966776371,174
305,672,384,0.2,0.01459314301609993,239
207,120,240,0.2,0.014589563012123108,41
343,96,720,0.1,0.014588716439902782,83
193,576,672,0.1,0.014588604681193829,389
415,120,48,0.1,0.014583662152290344,23
179,480,336,0.1,0.014583628624677658,101
117,48,768,0.1,0.0145804900676012,76
82,72,240,0.2,0.014580450952053,38
20,96,192,0.1,0.0145780937746167,46
278,120,768,0.2,0.014576096087694168,153
163,24,384,0.0,0.014574380591511726,81
378,528,336,0.0,0.014567208476364613,179
157,96,864,0.0,0.014566597528755665,121
398,72,384,0.0,0.014564593322575092,65
389,24,192,0.0,0.01456444151699543,47
173,528,576,0.0,0.014563879929482937,277
462,120,480,0.2,0.014561728574335575,67
586,144,576,0.1,0.014560610987246037,97
591,144,432,0.1,0.014560182578861713,102
54,624,528,0.2,0.0145542416721582,175
592,384,432,0.1,0.01455078274011612,134
228,24,576,0.2,0.014548709616065025,90
507,192,192,0.1,0.01454546395689249,63
344,48,240,0.0,0.014542153105139732,33
332,624,120,0.0,0.014538979157805443,62
259,72,336,0.0,0.01453683152794838,46
399,48,720,0.2,0.014536590315401554,93
184,48,672,0.2,0.014531666412949562,88
506,384,48,0.1,0.014530019834637642,30
594,24,288,0.2,0.014527429826557636,49
234,480,720,0.1,0.01452712807804346,247
262,720,336,0.0,0.014526501297950745,140
109,576,864,0.1,0.0145189724862575,324
24,384,336,0.1,0.0145127000287175,87
70,432,384,0.1,0.0145097142085433,167
286,480,864,0.2,0.01449970155954361,360
458,144,336,0.1,0.014497348107397556,84
461,240,288,0.2,0.014483452774584293,65
212,720,576,0.2,0.014475944451987743,285
147,96,240,0.1,0.014475892297923565,38
122,384,384,0.1,0.0144705530256032,123
158,48,336,0.1,0.014468337409198284,42
129,144,528,0.1,0.014467701315879822,93
530,48,240,0.1,0.014467512257397175,43
270,336,480,0.0,0.014459633268415928,137
304,432,240,0.1,0.014447461813688278,94
564,336,240,0.1,0.014438382349908352,83
466,672,432,0.0,0.01443507894873619,210
387,24,432,0.2,0.014417720958590508,62
66,192,480,0.2,0.0144165121018886,116
467,48,480,0.1,0.014415501616895199,54
509,288,240,0.1,0.014411509968340397,74
309,72,240,0.1,0.014403928071260452,36
